FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CAJA DE PREVISIÓN DE LA POLICÍA PREVENTIVA DEL DISTRITO FEDERAL,0,0,0,0,0,"26,109","49,735","49,735",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CAJA DE PREVISIÓN PARA TRABAJADORES A LISTA DE RAYA DEL GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CONSEJO DE EVALUACIÓN DEL DESARROLLO SOCIAL DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CONSEJO PARA PREVENIR Y ELIMINAR LA DISCRIMINACIÓN DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),"CORPORACIÓN MEXICANA DE IMPRESIÓN, S.A. DE C.V.",0,0,0,0,0,0,"10,150","10,150",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),ESCUELA DE ADMINISTRACIÓN PÚBLICA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO CENTRO HISTÓRICO DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO DE RECUPERACIÓN CREDITICIA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO DEL FONDO PARA EL DESARROLLO ECONÓMICO Y SOCIAL DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,128,128,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO EDUCACIÓN GARANTIZADA,0,0,0,0,0,0,0,0,0,0,0,0
